INDEX_NR
INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,SPECIES_ID,SPECIES,OUT_OF_RANGE_SPECIES,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,PERSON
1619296,23/08/2024,8,2024,16:40,Day,KMIA,MIAMI INTL,ABX,ABX AIR,N1489A,3120,B-767-300,148,97,22,7,A  ,4,D,2,1,1,,,Landing Roll,0,130,0,No Cloud,None,,0,0,N,YI005,Barn swallow,0,1,0,Unknown,02-oct,02-oct,Small,Air Transport Operations
1619314,25/08/2024,8,2024,16:20,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N334SM,264,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Approach,400,152,3,Some Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,02-oct,02-oct,Small,Pilot
1619316,24/08/2024,8,2024,09:00,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N244NN,3768,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Climb,,130,0,No Cloud,None,0,3,0,0,N,YI005,Barn swallow,0,1,0,Unknown,,1,Small,Pilot
1619411,30/08/2024,8,2024,14:18,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N840AW,435,A-319,04A,6,23,1,A  ,4,D,2,1,1,,,Approach,100,143,0,Some Cloud,Rain,,0,0,N,YI005,Barn swallow,0,1,0,Yes,,1,Small,Pilot
1619464,08/09/2024,9,2024,14:19,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N886NN,2025,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,100,145,0,Some Cloud,None,,0,0,N,YI005,Barn swallow,0,1,1,Unknown,1,1,Small,Pilot
1619510,07/09/2024,9,2024,14:06,Day,KMIA,MIAMI INTL,ABX,ABX AIR,N219CY,901,B-767-300,148,97,34,40,A  ,4,D,2,1,1,,,Climb,300,165,0,No Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Air Transport Operations
1619595,17/09/2024,9,2024,17:03,Day,KMIA,MIAMI INTL,BUS,BUSINESS,N870AR,,DASSAULT-200 FALCON,300,10,,,A  ,3,D,2,5,5,,,Take-off Run,0,,0,Some Cloud,None,,0,0,N,YI005,Barn swallow,0,1,0,Yes,02-oct,02-oct,Small,Airport Operations
1619755,20/09/2024,9,2024,12:35,Day,KMIA,MIAMI INTL,SWA,SOUTHWEST AIRLINES,N8823Q,4282,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Take-off Run,0,140,0,No Cloud,None,,0,0,N,YI005,Barn swallow,0,1,0,No,1,1,Small,Pilot
1619807,28/09/2024,9,2024,20:49,Night,KMIA,MIAMI INTL,ABX,ABX AIR,N371CM,5232,B-767-300,148,97,22,7,A  ,4,D,2,1,1,,,Approach,3000,250,8,Some Cloud,None,,0,1,M?,UNKB,Unknown bird,0,0,0,Unknown,,1,,Air Transport Operations
1620915,15/02/2024,2,2024,16:40,Day,KMIA,MIAMI INTL,DAL,DELTA AIR LINES,N337DN,2567,A-321,04A,7,10,1,A  ,4,D,2,1,1,,,Climb,,,0,Some Cloud,None,,0,1,M?,K1002,Turkey vulture,0,1,1,Yes,1,1,Large,Airport Operations
1621505,16/11/2024,11,2024,14:35,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N228NN,4011,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Climb,1500,210,5,No Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Pilot
1621634,06/09/2024,9,2024,18:35,Day,KMIA,MIAMI INTL,AVA,AVIANCA,N481AV,31,A-320,04A,3,10,1,A  ,4,D,2,1,1,,,Take-off Run,0,,0,No Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Air Transport Operations
1621662,14/07/2024,7,2024,12:53,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N441UW,2671,A-321,04A,7,10,,A  ,4,D,2,1,1,,,Take-off Run,0,,0,,,,0,0,N,ZT303,Boat-tailed grackle,0,1,0,Unknown,,1,Small,Tower
